code,company,name,gender,age,age_group,company_frequency
52,4You,Joyce Jacobsen,female,55,Senior,453
53,4You,Carol Dixon,female,23,Young Adult,453
54,4You,Dorothea Delaney,female,21,Young Adult,453
55,4You,Ivory Shiner,none,38,Middle Age,453
56,4You,Lindsey Pille,none,39,Middle Age,453
57,4You,Dorothy Dyson,female,32,Adult,453
58,4You,Ernie Walker,male,37,Middle Age,453
59,4You,Katherine Martinez,none,29,Adult,453
60,4You,Fred Moreta,male,47,Middle Age,453
61,4You,Susan Armstrong,female,61,Senior,453
62,4You,David Ray,none,32,Adult,453
63,4You,Robert Bell,male,22,Young Adult,453
64,4You,Ann Moore,female,41,Middle Age,453
65,4You,Christina Law,none,51,Senior,453
66,4You,Lona Paquette,none,52,Senior,453
67,4You,Melissa Long,female,41,Middle Age,453
68,4You,Lori Friedman,female,62,Senior,453
69,4You,Patty Chestnut,none,22,Young Adult,453
70,4You,Charles Lutz,male,57,Senior,453
71,4You,Walter Hendrickson,none,49,Middle Age,453
72,4You,Pearlie Truong,none,22,Young Adult,453
73,4You,Melissa Emch,female,46,Middle Age,453
74,4You,Janet Vaness,none,24,Young Adult,453
75,4You,Robert Wilhite,male,65,Senior,453
76,4You,Dian Houde,none,65,Senior,453
77,4You,Helen Gorman,female,57,Senior,453
78,4You,Craig Milstead,none,31,Adult,453
79,4You,Margaret Bertholf,female,65,Senior,453
80,4You,Elissa Hubbard,female,45,Middle Age,453
81,4You,Angela Hill,female,21,Young Adult,453
82,4You,Matthew Middendorf,male,60,Senior,453
83,4You,Fay Hall,none,51,Senior,453
84,4You,Josephine Miller,none,49,Middle Age,453
85,4You,Peter Moon,male,39,Middle Age,453
86,4You,Audrey Atwood,female,30,Adult,453
87,4You,Marie Bowyer,female,30,Adult,453
88,4You,Gabriel Davis,none,21,Young Adult,453
89,4You,Dixie Perez,female,28,Adult,453
90,4You,Juan Naone,none,39,Middle Age,453
91,4You,Christopher Madden,male,21,Young Adult,453
92,4You,Donna Day,female,43,Middle Age,453
93,4You,Nancy Campbell,none,32,Adult,453
94,4You,Cora Soron,none,47,Middle Age,453
95,4You,Randall Wison,none,21,Young Adult,453
96,4You,Mary Clarke,female,40,Middle Age,453
97,4You,Desmond Claxton,none,47,Middle Age,453
98,4You,Marie Ruiz,female,23,Young Adult,453
99,4You,Louis Peck,none,41,Middle Age,453
100,4You,Carla Puskar,female,36,Middle Age,453
101,4You,James Banks,male,59,Senior,453
102,4You,Henry Muhammad,male,43,Middle Age,453
103,4You,Judy Church,female,39,Middle Age,453
104,4You,Stephen Naylor,male,32,Adult,453
105,4You,Richard Haugen,male,31,Adult,453
106,4You,Tisha Eberly,none,27,Adult,453
107,4You,Lisa Martin,female,46,Middle Age,453
108,4You,Becky Gonzalez,female,58,Senior,453
109,4You,Maria Averitt,female,24,Young Adult,453
110,4You,Frank Leung,none,54,Senior,453
111,4You,Susan Streets,female,63,Senior,453
112,4You,Michael Benincase,male,53,Senior,453
113,4You,Richard Bouton,none,38,Middle Age,453
114,4You,Wallace Tenney,male,47,Middle Age,453
115,4You,Mark Trogdon,none,48,Middle Age,453
116,4You,Shawn Pennachio,male,59,Senior,453
117,4You,Maurice Creasey,none,38,Middle Age,453
118,4You,Margaret Renfroe,female,45,Middle Age,453
119,4You,Justin Bedard,male,38,Middle Age,453
120,4You,Robert Cuomo,none,41,Middle Age,453
121,4You,Kim Frederick,male,54,Senior,453
122,4You,Shannon Crosley,none,56,Senior,453
123,4You,Ralph Alzugaray,male,60,Senior,453
124,4You,Rae Austin,female,54,Senior,453
125,4You,Marshall Knight,male,61,Senior,453
126,4You,Ernesto Naron,none,47,Middle Age,453
127,4You,Juan Jaremka,none,47,Middle Age,453
128,4You,Alexander Carter,male,58,Senior,453
129,4You,Angela Cooper,female,50,Middle Age,453
130,4You,Robin Greek,female,65,Senior,453
131,4You,Terry Conteras,female,25,Young Adult,453
132,4You,Mary Dortch,none,48,Middle Age,453
133,4You,Ma New,female,28,Adult,453
134,4You,Anthony Mccaslin,male,54,Senior,453
135,4You,Jeanna Davis,female,45,Middle Age,453
136,4You,Sabrina Chance,female,53,Senior,453
137,4You,Brittany Brahler,none,60,Senior,453
138,4You,Kathryn Otsuka,female,27,Adult,453
139,4You,David Huerta,none,31,Adult,453
140,4You,Lillian Reyes,female,65,Senior,453
141,4You,Moises Gilliard,none,39,Middle Age,453
142,4You,Richard Espericueta,male,39,Middle Age,453
143,4You,Lisa Fitch,female,37,Middle Age,453
144,4You,Samantha Link,female,53,Senior,453
145,4You,Sandra Cruson,female,30,Adult,453
146,4You,Ruben Flores,male,65,Senior,453
147,4You,Noah Pillar,none,55,Senior,453
148,4You,Marty Ferguson,male,57,Senior,453
149,4You,Mary Harkness,female,37,Middle Age,453
150,4You,Catherine Michael,none,39,Middle Age,453
151,4You,Edward Harris,none,40,Middle Age,453
152,4You,Elisa Vizcarra,female,42,Middle Age,453
153,4You,Tona Buri,female,65,Senior,453
154,4You,Rex Velasquez,male,46,Middle Age,453
155,4You,Matthew Sullivan,none,26,Adult,453
156,4You,Shannon Buitron,female,53,Senior,453
157,4You,Sarah Axelson,none,42,Middle Age,453
158,4You,Benjamin Vanbuskirk,male,52,Senior,453
159,4You,Jack Harris,male,26,Adult,453
160,4You,Juan Stevenson,none,43,Middle Age,453
161,4You,Abraham Smith,male,62,Senior,453
162,4You,Helen Jordan,female,21,Young Adult,453
163,4You,Derek Colburn,male,59,Senior,453
164,4You,Tyler Butler,male,35,Adult,453
165,4You,Christine Burlingham,none,62,Senior,453
166,4You,Bonnie Romero,none,65,Senior,453
167,4You,Robert Toney,male,65,Senior,453
168,4You,Lynn Quirk,female,53,Senior,453
169,4You,William Headley,none,55,Senior,453
170,4You,Charlotte Adair,none,36,Middle Age,453
171,4You,Wade Cobb,male,49,Middle Age,453
172,4You,Emery Bradford,none,44,Middle Age,453
173,4You,Devin Shaver,male,49,Middle Age,453
174,4You,Christopher Brown,none,59,Senior,453
175,4You,Doris Marsh,female,48,Middle Age,453
176,4You,Eva Grant,female,32,Adult,453
177,4You,Brent Jaynes,male,55,Senior,453
178,4You,Bobby Rutledge,male,36,Middle Age,453
179,4You,Ellen Brodowski,female,55,Senior,453
180,4You,William Prahm,male,27,Adult,453
181,4You,Harry Wong,none,23,Young Adult,453
182,4You,Donald Anderson,male,29,Adult,453
183,4You,Dean Lindberg,male,42,Middle Age,453
184,4You,Ronald Giunta,male,60,Senior,453
185,4You,Robert Sherman,male,54,Senior,453
186,4You,Doris Quinones,female,56,Senior,453
187,4You,Merle Gravatt,male,59,Senior,453
188,4You,Donald Kingsley,male,24,Young Adult,453
189,4You,Nicholas Goodman,male,31,Adult,453
190,4You,Jack Neumann,none,60,Senior,453
191,4You,Adan Duarte,none,35,Adult,453
192,4You,Jordan Williams,male,41,Middle Age,453
193,4You,Jose Carr,male,62,Senior,453
194,4You,William Douthitt,male,37,Middle Age,453
195,4You,Richard Juarez,male,39,Middle Age,453
196,4You,Ora Nunez,female,59,Senior,453
197,4You,Roger Chavers,male,23,Young Adult,453
198,4You,Kathryn Fegley,none,41,Middle Age,453
199,4You,Charlotte Kina,none,49,Middle Age,453
200,4You,Teresa Banister,none,29,Adult,453
201,4You,Emerson Martindale,male,41,Middle Age,453
202,4You,Christopher Schroeder,male,34,Adult,453
203,4You,Gary Lamb,male,46,Middle Age,453
204,4You,Eddie House,none,30,Adult,453
205,4You,Kelley Bradford,none,24,Young Adult,453
206,4You,Lisa Mottillo,female,33,Adult,453
207,4You,Mary Breton,female,33,Adult,453
208,4You,Gertrude Fowler,female,37,Middle Age,453
209,4You,Elvin Wilhoit,male,51,Senior,453
210,4You,Jerry Vance,none,55,Senior,453
211,4You,Jessica Shepard,female,57,Senior,453
212,4You,David Donovan,male,34,Adult,453
213,4You,Paulette Olney,female,44,Middle Age,453
214,4You,Bernice Martinez,female,62,Senior,453
215,4You,James Stokes,none,30,Adult,453
216,4You,Tina Higgins,none,32,Adult,453
217,4You,Manuel Hanson,none,53,Senior,453
218,4You,Marylee Hall,female,60,Senior,453
219,4You,Delia Romero,none,59,Senior,453
220,4You,Jennifer Avalos,none,47,Middle Age,453
221,4You,Ruth Nava,female,58,Senior,453
222,4You,Kimberly Plumber,female,21,Young Adult,453
223,4You,Georgina Trevino,female,36,Middle Age,453
224,4You,Lucille Merkle,female,65,Senior,453
225,4You,Carol Tinkham,none,35,Adult,453
226,4You,Jennifer Ladner,female,29,Adult,453
227,4You,Sandra Young,none,44,Middle Age,453
228,4You,Robert George,male,29,Adult,453
229,4You,Aaron Dunn,none,51,Senior,453
230,4You,Patricia Pittman,female,35,Adult,453
231,4You,Ronnie Stauffer,male,50,Middle Age,453
232,4You,Linda Pelaez,female,29,Adult,453
233,4You,Anna Broyles,female,63,Senior,453
234,4You,Antonia Mcrae,female,45,Middle Age,453
235,4You,Bonnie Martinez,female,49,Middle Age,453
236,4You,James Brooks,none,46,Middle Age,453
237,4You,Sylvia Etheridge,female,47,Middle Age,453
238,4You,Charles Baker,male,38,Middle Age,453
239,4You,Julie Berman,female,51,Senior,453
240,4You,Foster King,none,33,Adult,453
241,4You,Sonia Malaspina,female,63,Senior,453
242,4You,Ray Johnson,male,56,Senior,453
243,4You,Jason Griess,none,45,Middle Age,453
244,4You,Opal Valles,female,45,Middle Age,453
245,4You,Jacqueline Sabir,female,40,Middle Age,453
246,4You,Dorothy Richardson,female,33,Adult,453
247,4You,Judy Mcmann,none,25,Young Adult,453
248,4You,Monica Chafin,female,49,Middle Age,453
249,4You,George Sapp,male,26,Adult,453
250,4You,Jeff Veno,male,38,Middle Age,453
251,4You,Tommy Burns,male,25,Young Adult,453
252,4You,Justin Lanosga,none,47,Middle Age,453
253,4You,Barbara Knight,female,41,Middle Age,453
254,4You,Doris Weaver,none,44,Middle Age,453
255,4You,Arthur Hoag,male,31,Adult,453
256,4You,Reuben Jones,none,51,Senior,453
257,4You,Carolyn Miller,female,39,Middle Age,453
258,4You,Walter Letchworth,male,35,Adult,453
259,4You,Helen Walton,none,49,Middle Age,453
260,4You,Veronica Rose,none,51,Senior,453
261,4You,Betty Dietrick,none,50,Middle Age,453
262,4You,Ramon Santistevan,male,33,Adult,453
263,4You,John Lewis,none,34,Adult,453
264,4You,Prince Webster,male,40,Middle Age,453
265,4You,Patricia Ives,female,30,Adult,453
266,4You,Larry Decker,male,45,Middle Age,453
267,4You,Patricia Elwell,female,40,Middle Age,453
268,4You,Henry Warren,none,47,Middle Age,453
269,4You,Sandra Banks,none,49,Middle Age,453
270,4You,Dustin Owens,male,51,Senior,453
271,4You,Scott Schreyer,male,63,Senior,453
272,4You,Genevieve May,female,56,Senior,453
273,4You,John Evans,male,52,Senior,453
274,4You,Alejandro Perry,male,61,Senior,453
275,4You,Allen Strode,none,60,Senior,453
276,4You,Angela Shelby,none,26,Adult,453
277,4You,Fred Luescher,none,63,Senior,453
278,4You,Willie Lopez,male,36,Middle Age,453
279,4You,Mildred Jackson,female,49,Middle Age,453
280,4You,Stephen Diaz,male,26,Adult,453
281,4You,Christopher Shultz,none,29,Adult,453
282,4You,Shirley Griffin,none,36,Middle Age,453
283,4You,Barbara Faust,female,42,Middle Age,453
284,4You,Adam Pittman,male,32,Adult,453
285,4You,Barbara Gannaway,none,33,Adult,453
286,4You,Ellen Hanks,female,43,Middle Age,453
287,4You,Bradley Barone,none,39,Middle Age,453
288,4You,Bryan Bowers,none,23,Young Adult,453
289,4You,Ethel Duffy,female,34,Adult,453
290,4You,Kristina Miller,none,43,Middle Age,453
291,4You,Larry Dupree,male,36,Middle Age,453
292,4You,Theodore Carter,none,36,Middle Age,453
293,4You,Jeffrey Matthews,none,55,Senior,453
294,4You,Dawn Harris,female,22,Young Adult,453
295,4You,Jenna Center,female,60,Senior,453
296,4You,James Fouche,none,28,Adult,453
297,4You,Lawrence Deibert,none,49,Middle Age,453
298,4You,Gary Schwab,male,29,Adult,453
299,4You,Robert Herrera,none,28,Adult,453
300,4You,Misty Garcia,none,25,Young Adult,453
301,4You,Tom Salazar,none,58,Senior,453
302,4You,Anne Brown,female,42,Middle Age,453
303,4You,Richard Gomez,male,56,Senior,453
304,4You,James Lord,male,32,Adult,453
305,4You,Sarah Willis,female,50,Middle Age,453
306,4You,Darren Bennett,none,43,Middle Age,453
307,4You,Robert Legros,male,59,Senior,453
308,4You,Doris Ramirez,female,27,Adult,453
309,4You,David Robinson,male,33,Adult,453
310,4You,Judy Atkins,none,32,Adult,453
311,4You,Sandra Mitchell,none,30,Adult,453
312,4You,Ulysses Barker,male,40,Middle Age,453
313,4You,Judith Pierce,female,23,Young Adult,453
314,4You,Matthew Johnson,male,50,Middle Age,453
315,4You,Alfred Atkinson,none,61,Senior,453
316,4You,Charlotte Johnson,female,64,Senior,453
317,4You,Adam Groome,male,54,Senior,453
318,4You,Hazel Grove,none,50,Middle Age,453
319,4You,Anthony Jarrett,male,28,Adult,453
320,4You,Reginald Doherty,male,33,Adult,453
321,4You,Jack Perry,none,57,Senior,453
322,4You,Wallace Gallardo,male,56,Senior,453
323,4You,Jean Obrien,female,53,Senior,453
324,4You,Robert Schlipp,none,48,Middle Age,453
325,4You,Christine Lowery,none,24,Young Adult,453
326,4You,Marian Dunn,female,63,Senior,453
327,4You,Vanessa Nobles,female,32,Adult,453
328,4You,Tracy Mccracken,female,53,Senior,453
329,4You,Amanda Hanson,female,46,Middle Age,453
330,4You,Robert Smith,none,57,Senior,453
331,4You,Edward Grayson,male,41,Middle Age,453
332,4You,John Garrison,none,38,Middle Age,453
333,4You,Heike Wilson,none,30,Adult,453
334,4You,Mitchell Goss,male,45,Middle Age,453
335,4You,Larry Tapia,none,34,Adult,453
336,4You,Edith Franco,female,22,Young Adult,453
337,4You,Hans Bryan,none,37,Middle Age,453
338,4You,Randy Sao,male,65,Senior,453
339,4You,Stephen Midgett,male,33,Adult,453
340,4You,Anthony Briney,none,25,Young Adult,453
341,4You,Catherine Jenkins,none,31,Adult,453
342,4You,Tina Tomasek,female,22,Young Adult,453
343,4You,Eric Fuller,male,47,Middle Age,453
344,4You,Gary Hanson,male,33,Adult,453
345,4You,Timothy Perez,none,46,Middle Age,453
346,4You,Jeffrey Forester,male,57,Senior,453
347,4You,Keith Sherman,male,35,Adult,453
348,4You,Mathilde Boone,female,52,Senior,453
349,4You,Isabel Guthrie,female,36,Middle Age,453
350,4You,Sam Abernathy,male,25,Young Adult,453
351,4You,Sara Ferguson,none,32,Adult,453
352,4You,Alicia Watts,female,36,Middle Age,453
353,4You,Ricky Baker,male,57,Senior,453
354,4You,Andy Skidmore,none,39,Middle Age,453
355,4You,Debra Bailey,female,61,Senior,453
356,4You,Ralph Colunga,none,33,Adult,453
357,4You,Kathryn Childress,female,37,Middle Age,453
358,4You,Rickey Orouke,male,46,Middle Age,453
359,4You,Virgil Hauck,male,48,Middle Age,453
360,4You,William Williams,male,49,Middle Age,453
361,4You,Curtis Sexton,male,33,Adult,453
362,4You,Kyle Young,male,59,Senior,453
363,4You,Abby Small,female,25,Young Adult,453
364,4You,Kristina Schuetz,female,48,Middle Age,453
365,4You,Eunice Burns,female,24,Young Adult,453
366,4You,Claude Johnston,none,65,Senior,453
367,4You,Deborah Adams,none,28,Adult,453
368,4You,Mark Nemec,male,25,Young Adult,453
369,4You,Bart Haverstock,male,21,Young Adult,453
370,4You,Susan Manzano,none,31,Adult,453
371,4You,Jenine Hobson,none,65,Senior,453
372,4You,Dolores Davis,none,32,Adult,453
373,4You,Jame Carter,female,65,Senior,453
374,4You,Kristopher Runyon,male,25,Young Adult,453
375,4You,Jerome Sanchez,none,56,Senior,453
376,4You,Dale Mazur,male,47,Middle Age,453
377,4You,Larry Faron,male,24,Young Adult,453
378,4You,Sarah Boock,none,30,Adult,453
379,4You,Anthony Bethea,none,49,Middle Age,453
380,4You,Rachael Moore,none,56,Senior,453
381,4You,Victor Remington,male,52,Senior,453
382,4You,Arthur Mckinnis,none,25,Young Adult,453
383,4You,Gabriel Mantini,none,39,Middle Age,453
384,4You,Eulalia White,female,45,Middle Age,453
385,4You,Jeffery Gill,male,53,Senior,453
386,4You,Katlyn Hsiao,female,44,Middle Age,453
387,4You,Dorothy Barnes,none,21,Young Adult,453
388,4You,Virgie Humphrys,female,23,Young Adult,453
389,4You,Mark Eisentrout,none,43,Middle Age,453
390,4You,Ervin Janke,none,55,Senior,453
391,4You,Philip Robertson,male,49,Middle Age,453
392,4You,Cameron Williams,male,27,Adult,453
393,4You,Kelly Subido,female,23,Young Adult,453
394,4You,Tom Floyd,none,48,Middle Age,453
395,4You,Caroline Eaton,female,49,Middle Age,453
396,4You,Douglas Shields,male,39,Middle Age,453
397,4You,Robert Clark,male,28,Adult,453
398,4You,Christine Spillane,female,29,Adult,453
399,4You,Shirley Blacklock,female,36,Middle Age,453
400,4You,Cathy Childs,female,52,Senior,453
401,4You,Dave Morton,none,47,Middle Age,453
402,4You,Philip Rose,male,48,Middle Age,453
403,4You,Oliver Williams,none,49,Middle Age,453
404,4You,Ana Hudson,none,23,Young Adult,453
405,4You,Linda Thompson,none,53,Senior,453
406,4You,William Jemmott,male,21,Young Adult,453
407,4You,Fernande Conover,female,25,Young Adult,453
408,4You,Richard Anaya,none,59,Senior,453
409,4You,Frank Strawn,none,32,Adult,453
410,4You,Marilyn Wix,none,39,Middle Age,453
411,4You,Debbie Green,female,24,Young Adult,453
412,4You,Teresa Sanchez,none,21,Young Adult,453
413,4You,Clifford Fagen,male,63,Senior,453
414,4You,Tonya Rivera,none,62,Senior,453
415,4You,Barbara Oliver,none,61,Senior,453
416,4You,Mary Rivera,female,37,Middle Age,453
417,4You,Dana King,none,35,Adult,453
418,4You,Frank Street,none,61,Senior,453
419,4You,Tanya Donahue,none,36,Middle Age,453
420,4You,April Williams,female,46,Middle Age,453
421,4You,Brenda Alvarado,none,45,Middle Age,453
422,4You,Mary Ewers,none,29,Adult,453
423,4You,Sandra Sawin,female,21,Young Adult,453
424,4You,Diana Mcelrath,female,59,Senior,453
425,4You,Dorothy Martin,female,61,Senior,453
426,4You,Amy Kun,none,65,Senior,453
427,4You,Margaret Morley,female,63,Senior,453
428,4You,Marion Smith,none,42,Middle Age,453
429,4You,Brian Zimmermann,male,44,Middle Age,453
430,4You,Sharyl Simmons,female,36,Middle Age,453
431,4You,Matilda Wright,none,44,Middle Age,453
432,4You,Linda Speight,female,52,Senior,453
433,4You,Bradley Johnson,none,57,Senior,453
434,4You,Johnny Odom,male,29,Adult,453
435,4You,Eric Barakat,male,57,Senior,453
436,4You,Linda Ellis,none,53,Senior,453
437,4You,Diane Huff,none,60,Senior,453
438,4You,Michael Stroik,male,44,Middle Age,453
439,4You,Cynthia Hall,none,21,Young Adult,453
440,4You,Donald Stallworth,none,46,Middle Age,453
441,4You,Robert Coronado,male,32,Adult,453
442,4You,Renee Brock,female,24,Young Adult,453
443,4You,Alberto Hamner,male,24,Young Adult,453
444,4You,Jodi Norton,none,37,Middle Age,453
445,4You,Laura Burns,female,23,Young Adult,453
446,4You,Henry Burkhard,male,46,Middle Age,453
447,4You,Adam Hawkins,none,43,Middle Age,453
448,4You,Marion Casey,female,28,Adult,453
449,4You,Valerie Gonzalez,female,61,Senior,453
450,4You,Monica Briggs,none,42,Middle Age,453
451,4You,Derick Krausz,male,46,Middle Age,453
452,4You,Maynard Murray,none,33,Adult,453
453,Monsters CYA,Christopher Norman,none,29,Adult,195
454,Monsters CYA,James Cox,none,52,Senior,195
455,Monsters CYA,Dana Looney,female,56,Senior,195
456,Monsters CYA,Gertrude Rice,female,36,Middle Age,195
457,Monsters CYA,Leonel Richardson,male,49,Middle Age,195
458,Monsters CYA,Donald Jansen,male,22,Young Adult,195
459,Monsters CYA,Joseph Silva,male,50,Middle Age,195
460,Monsters CYA,William Washington,male,63,Senior,195
461,Monsters CYA,Ma Hall,female,63,Senior,195
462,Monsters CYA,David Leone,male,43,Middle Age,195
463,Monsters CYA,Robert White,none,22,Young Adult,195
464,Monsters CYA,Zachary Richardson,male,60,Senior,195
465,Monsters CYA,Judith Brown,none,34,Adult,195
466,Monsters CYA,Walter Ortiz,male,52,Senior,195
467,Monsters CYA,Justin Emmons,male,31,Adult,195
468,Monsters CYA,Robert Terrell,male,47,Middle Age,195
469,Monsters CYA,Dennis Phillips,none,41,Middle Age,195
470,Monsters CYA,Ima Borne,female,23,Young Adult,195
471,Monsters CYA,Norma Brady,female,26,Adult,195
472,Monsters CYA,Helen Heavilin,female,28,Adult,195
473,Monsters CYA,Anita Smothers,female,48,Middle Age,195
474,Monsters CYA,Dorothy Sample,female,48,Middle Age,195
475,Monsters CYA,Cindy Sullivan,female,44,Middle Age,195
476,Monsters CYA,Major Girard,male,31,Adult,195
477,Monsters CYA,Kevin Boyd,none,46,Middle Age,195
478,Monsters CYA,Jerry Pickle,none,62,Senior,195
479,Monsters CYA,Earl Traina,none,42,Middle Age,195
480,Monsters CYA,Donna Koonce,female,32,Adult,195
481,Monsters CYA,Lyman Huizar,none,62,Senior,195
482,Monsters CYA,William Northey,male,31,Adult,195
483,Monsters CYA,Henry Browne,none,58,Senior,195
484,Monsters CYA,Julie Bourgeois,female,44,Middle Age,195
485,Monsters CYA,Angelina Lane,none,29,Adult,195
486,Monsters CYA,Katelyn Ogorman,none,46,Middle Age,195
487,Monsters CYA,Nancy Doggett,none,40,Middle Age,195
488,Monsters CYA,Sonja Bell,female,56,Senior,195
489,Monsters CYA,James Wareham,none,57,Senior,195
490,Monsters CYA,Frank Lopez,none,39,Middle Age,195
491,Monsters CYA,Lazaro Jordan,male,65,Senior,195
492,Monsters CYA,Scott Chavez,male,36,Middle Age,195
493,Monsters CYA,Artie Ladner,female,48,Middle Age,195
494,Monsters CYA,Steven Colon,male,31,Adult,195
495,Monsters CYA,Robert Carpenter,male,44,Middle Age,195
496,Monsters CYA,Charlotte Johnson,none,51,Senior,195
497,Monsters CYA,Christopher Cooper,male,60,Senior,195
498,Monsters CYA,Melvin Wineland,male,64,Senior,195
499,Monsters CYA,Andrew Sperdute,male,62,Senior,195
500,Monsters CYA,Edward Zahner,male,42,Middle Age,195
501,Monsters CYA,Amy Ruff,female,21,Young Adult,195
502,Monsters CYA,Jason Bottone,none,55,Senior,195
503,Monsters CYA,Mark Smith,male,30,Adult,195
504,Monsters CYA,Rafael Wood,none,61,Senior,195
505,Monsters CYA,Arthur Acevedo,male,24,Young Adult,195
506,Monsters CYA,David Grady,male,61,Senior,195
507,Monsters CYA,Thomas Coleman,male,57,Senior,195
508,Monsters CYA,Gwen Payne,female,64,Senior,195
509,Monsters CYA,Brian Thompson,none,21,Young Adult,195
510,Monsters CYA,Traci Shelton,none,41,Middle Age,195
511,Monsters CYA,Wilma Prescott,female,32,Adult,195
512,Monsters CYA,Juanita Baker,female,52,Senior,195
513,Monsters CYA,Kia Rodriguez,female,64,Senior,195
514,Monsters CYA,Myesha Taranto,female,41,Middle Age,195
515,Monsters CYA,Anna Edgar,none,24,Young Adult,195
516,Monsters CYA,Julie Hamson,female,47,Middle Age,195
517,Monsters CYA,Linda Gordan,none,30,Adult,195
518,Monsters CYA,James White,male,25,Young Adult,195
519,Monsters CYA,Alan Ferebee,male,32,Adult,195
520,Monsters CYA,Bobby Alex,male,30,Adult,195
521,Monsters CYA,Alicia Cedar,female,29,Adult,195
522,Monsters CYA,Wilfred Briggs,male,55,Senior,195
523,Monsters CYA,Timmy Lemons,none,34,Adult,195
524,Monsters CYA,Linda Parks,female,50,Middle Age,195
525,Monsters CYA,Cynthia Luzar,none,32,Adult,195
526,Monsters CYA,Joy Sibley,none,62,Senior,195
527,Monsters CYA,Elma Gonzales,female,40,Middle Age,195
528,Monsters CYA,Frances Kendall,female,34,Adult,195
529,Monsters CYA,Gary Pietrafesa,male,34,Adult,195
530,Monsters CYA,Tanya Mcmillan,none,32,Adult,195
531,Monsters CYA,Tammy Lechuga,none,51,Senior,195
532,Monsters CYA,Florence Wilson,female,42,Middle Age,195
533,Monsters CYA,Nicholas Fast,none,55,Senior,195
534,Monsters CYA,James Perez,male,21,Young Adult,195
535,Monsters CYA,Joann Mccrossen,female,28,Adult,195
536,Monsters CYA,Alice Mora,none,38,Middle Age,195
537,Monsters CYA,Robert Villalvazo,none,35,Adult,195
538,Monsters CYA,Marlene Worrell,female,55,Senior,195
539,Monsters CYA,Horace Skillman,none,64,Senior,195
540,Monsters CYA,Yvonne Ridgeway,none,30,Adult,195
541,Monsters CYA,Carolyn Watt,none,52,Senior,195
542,Monsters CYA,Dorothy Carter,none,64,Senior,195
543,Monsters CYA,Bianca Fitz,female,51,Senior,195
544,Monsters CYA,John Micciche,none,64,Senior,195
545,Monsters CYA,Kenneth Jump,male,46,Middle Age,195
546,Monsters CYA,Abdul Vogus,male,46,Middle Age,195
547,Monsters CYA,Paul Torres,none,60,Senior,195
548,Monsters CYA,Frances Vidal,female,29,Adult,195
549,Monsters CYA,Margaret Orellana,female,24,Young Adult,195
550,Monsters CYA,Luz Gilliland,none,22,Young Adult,195
551,Monsters CYA,Juanita Carter,none,52,Senior,195
552,Monsters CYA,Kevin Paul,none,45,Middle Age,195
553,Monsters CYA,Diego Boday,male,50,Middle Age,195
